Date	Open	High	Low	Close	Change (Pips)	Change (%)
May 27, 2016 00:00	6264.2	6278.9	6251.4	6262.7	-1.5	-0.02%
May 26, 2016 00:00	6269.8	6283.3	6245.5	6263.8	-6.0	-0.10%
May 25, 2016 00:00	6237.7	6279.4	6234.2	6270.7	+33.0	+0.53%
May 24, 2016 00:00	6132.5	6243.5	6108.2	6238.2	+105.7	+1.69%
May 23, 2016 00:00	6160.2	6173.9	6121.5	6132.5	-27.7	-0.45%
May 20, 2016 00:00	6082.2	6159.4	6077.9	6152.2	+70.0	+1.14%
May 19, 2016 00:00	6125.7	6136	6047.7	6081.7	-44.0	-0.72%
May 18, 2016 00:00	6136.9	6172.9	6111.9	6138.7	+1.8	+0.03%
May 17, 2016 00:00	6167.7	6217.9	6130.4	6136.4	-31.3	-0.51%
May 16, 2016 00:00	6088.4	6177.9	6074.9	6168.2	+79.8	+1.29%
May 13, 2016 00:00	6110	6143	6058.5	6095.3	-14.7	-0.24%
May 12, 2016 00:00	6134.5	6195.5	6089.1	6112	-22.5	-0.37%
May 11, 2016 00:00	6155.8	6174	6131	6141	-14.8	-0.24%
May 10, 2016 00:00	6116	6182.1	6102.2	6156.5	+40.5	+0.66%
May 09, 2016 00:00	6148.8	6178.8	6106.8	6116.3	-32.5	-0.53%
May 06, 2016 00:00	6112.4	6161.6	6056.8	6154.6	+42.2	+0.69%
May 05, 2016 00:00	6116.2	6157.6	6103.1	6112.6	-3.6	-0.06%
May 04, 2016 00:00	6190.7	6207.4	6100.1	6119.9	-70.8	-1.16%
May 03, 2016 00:00	6287.9	6299.9	6160	6190.9	-97.0	-1.57%
Apr 29, 2016 00:00	6271.4	6295.4	6232.9	6260.4	-11.0	-0.18%
Apr 28, 2016 00:00	6329.2	6339	6224.8	6272.1	-57.1	-0.91%
Apr 27, 2016 00:00	6283.4	6347.1	6257.2	6335.9	+52.5	+0.83%
Apr 26, 2016 00:00	6275.6	6302	6269.9	6284.4	+8.8	+0.14%
Apr 25, 2016 00:00	6338.9	6340.4	6251.9	6275.1	-63.8	-1.02%
Apr 22, 2016 00:00	6348.2	6374.5	6291.9	6322.2	-26.0	-0.41%
Apr 21, 2016 00:00	6417.7	6438	6342.2	6347.7	-70.0	-1.10%
Apr 20, 2016 00:00	6411.5	6437.5	6371.4	6420.4	+8.9	+0.14%
Apr 19, 2016 00:00	6345	6424.9	6344.5	6411	+66.0	+1.03%
Apr 18, 2016 00:00	6310.2	6365	6267.9	6350.2	+40.0	+0.63%
Apr 15, 2016 00:00	6368.8	6381.5	6334.7	6338.4	-30.4	-0.48%
Apr 14, 2016 00:00	6377.9	6384	6342.4	6368.2	-9.7	-0.15%
Apr 13, 2016 00:00	6265.3	6380.3	6260.6	6380.3	+115.0	+1.80%
Apr 12, 2016 00:00	6176.9	6268.8	6171.4	6265.4	+88.5	+1.41%
Apr 11, 2016 00:00	6200.9	6236.3	6168.9	6176.7	-24.2	-0.39%
Apr 08, 2016 00:00	6123.7	6223	6114.2	6199.9	+76.2	+1.23%
Apr 07, 2016 00:00	6178.2	6209.9	6113.5	6122.7	-55.5	-0.91%
Apr 06, 2016 00:00	6089.6	6196.1	6088.4	6188.4	+98.8	+1.60%
Apr 05, 2016 00:00	6157.9	6163	6068.4	6089.9	-68.0	-1.12%
Apr 04, 2016 00:00	6156.2	6211.2	6135.7	6156.6	+0.4	+0.01%
Apr 01, 2016 00:00	6161.3	6174.9	6082.8	6160.1	-1.2	-0.02%
Mar 31, 2016 00:00	6196.2	6208	6155.9	6161.8	-34.4	-0.56%
Mar 30, 2016 00:00	6148.3	6231	6148.2	6196.4	+48.1	+0.78%
Mar 29, 2016 00:00	6131.8	6167.5	6078	6148.8	+17.0	+0.28%
Mar 24, 2016 00:00	6170	6179.4	6097.4	6144.6	-25.4	-0.41%
Mar 23, 2016 00:00	6191	6227.1	6168.3	6170.2	-20.8	-0.34%
Mar 22, 2016 00:00	6195.5	6208.8	6115.2	6184.2	-11.3	-0.18%
Mar 21, 2016 00:00	6179.2	6222.7	6158.2	6191	+11.8	+0.19%
Mar 18, 2016 00:00	6198.8	6245.2	6178.2	6187.7	-11.1	-0.18%
Mar 17, 2016 00:00	6182.8	6238.2	6133.1	6199	+16.2	+0.26%
Mar 16, 2016 00:00	6164.1	6203.1	6144.1	6183	+18.9	+0.31%
Mar 15, 2016 00:00	6174.1	6178.1	6123.6	6156.1	-18.0	-0.29%
Mar 14, 2016 00:00	6156.6	6203.7	6140.8	6166.5	+9.9	+0.16%
Mar 11, 2016 00:00	6068.1	6169.8	6059.6	6157.6	+89.5	+1.45%
Mar 10, 2016 00:00	6151.2	6208.4	6011.3	6067.3	-83.9	-1.38%
Mar 09, 2016 00:00	6126.8	6179.2	6115.4	6150.4	+23.6	+0.38%
Mar 08, 2016 00:00	6175.1	6178.8	6103.7	6127.1	-48.0	-0.78%
Mar 07, 2016 00:00	6172.5	6216.8	6129.3	6175.2	+2.7	+0.04%
Mar 04, 2016 00:00	6152.8	6223	6142.2	6176	+23.2	+0.38%
Mar 03, 2016 00:00	6146	6173.5	6107.1	6152.6	+6.6	+0.11%
Mar 02, 2016 00:00	6180.5	6212	6101.1	6145.9	-34.6	-0.56%
Mar 01, 2016 00:00	6043.2	6187.3	6034.9	6180.9	+137.7	+2.23%
Feb 29, 2016 00:00	6071.7	6108.4	6034.9	6043.6	-28.1	-0.46%
Feb 26, 2016 00:00	6045	6118.5	6028.6	6070.9	+25.9	+0.43%
Feb 25, 2016 00:00	5971.9	6052	5917.7	6048.8	+76.9	+1.27%
Feb 24, 2016 00:00	5937.7	5972.2	5849.9	5972.2	+34.5	+0.58%
Feb 23, 2016 00:00	6007.3	6030.6	5937.9	5937.9	-69.4	-1.17%
Feb 22, 2016 00:00	5936	6072.1	5898.1	6007.3	+71.3	+1.19%
Feb 19, 2016 00:00	5976.1	6008.5	5921.5	5946	-30.1	-0.51%
Feb 18, 2016 00:00	6047.7	6047.7	5954.5	5975.4	-72.3	-1.21%
Feb 17, 2016 00:00	5889.5	6057.2	5866.7	6048.4	+158.9	+2.63%
Feb 16, 2016 00:00	5807.5	5903.4	5807.5	5888.3	+80.8	+1.37%
Feb 15, 2016 00:00	5751.7	5844.9	5733.9	5804.2	+52.5	+0.90%
Feb 12, 2016 00:00	5559.6	5732	5559.6	5723.2	+163.6	+2.86%
Feb 11, 2016 00:00	5615.1	5633.3	5498.3	5558.5	-56.6	-1.02%
Feb 10, 2016 00:00	5647.2	5716.6	5615.3	5615.3	-31.9	-0.57%
Feb 09, 2016 00:00	5722	5744.9	5598.2	5646.7	-75.3	-1.33%
Feb 08, 2016 00:00	5845.1	5892.2	5662.1	5722.4	-122.7	-2.14%
Feb 05, 2016 00:00	5890.6	5945	5820	5847.7	-42.9	-0.73%
Feb 04, 2016 00:00	5899	5945.5	5829.1	5892.7	-6.3	-0.11%
Feb 03, 2016 00:00	5877.3	5921.4	5793.2	5899.3	+22.0	+0.37%
Feb 02, 2016 00:00	6054.9	6057.6	5866.5	5877.5	-177.4	-3.02%
Feb 01, 2016 00:00	6120.6	6121.3	5991.8	6045.2	-75.4	-1.25%
Jan 29, 2016 00:00	5932.1	6128.5	5912.2	6111.1	+179.0	+2.93%
Jan 28, 2016 00:00	5943.8	6020.8	5887.4	5932	-11.8	-0.20%
Jan 27, 2016 00:00	5901.4	6026.3	5869.6	5964	+62.6	+1.05%
Jan 26, 2016 00:00	5842.2	5940.5	5741.9	5910	+67.8	+1.15%
Jan 25, 2016 00:00	5935.9	5958.4	5831.9	5842.9	-93.0	-1.59%
Jan 22, 2016 00:00	5765.6	5953.5	5757.8	5928.4	+162.8	+2.75%
Jan 21, 2016 00:00	5717.4	5822.8	5655.8	5774.3	+56.9	+0.99%
Jan 20, 2016 00:00	5835.6	5858.1	5599.7	5718	-117.6	-2.06%
Jan 19, 2016 00:00	5769.6	5915.8	5765.8	5836.1	+66.5	+1.14%
Jan 18, 2016 00:00	5762.2	5853.1	5743.1	5772	+9.8	+0.17%
Jan 15, 2016 00:00	5966	5992.6	5737.3	5787.8	-178.2	-3.08%
Jan 14, 2016 00:00	5850.9	6002.1	5827.2	5965.6	+114.7	+1.92%
Jan 13, 2016 00:00	5918.3	6010.8	5834.8	5850.6	-67.7	-1.16%
Jan 12, 2016 00:00	5892	5987.3	5859.4	5918.7	+26.7	+0.45%
Jan 11, 2016 00:00	5892.9	5943.6	5751	5891.5	-1.4	-0.02%
Jan 08, 2016 00:00	5888.2	6013.3	5871	5878.3	-9.9	-0.17%
Jan 07, 2016 00:00	6051.6	6064.9	5868	5887.2	-164.4	-2.79%
Jan 06, 2016 00:00	6151.9	6164.3	6013	6054.3	-97.6	-1.61%
Jan 05, 2016 00:00	6139.8	6167.3	6076.8	6152.1	+12.3	+0.20%
Jan 04, 2016 00:00	6237.6	6253.4	6065.8	6140	-97.6	-1.59%
Dec 31, 2015 00:00	6251.9	6267.5	6230.8	6249	-2.9	-0.05%
Dec 30, 2015 00:00	6310.1	6310.3	6247.4	6251.6	-58.5	-0.94%
Dec 29, 2015 00:00	6240	6322.8	6240	6310.5	+70.5	+1.12%
Dec 24, 2015 00:00	6251.9	6267	6232.5	6258.5	+6.6	+0.11%
Dec 23, 2015 00:00	6124.5	6270	6117.3	6255.6	+131.1	+2.10%
Dec 22, 2015 00:00	6069.4	6143.9	6028.8	6124.1	+54.7	+0.89%
Dec 21, 2015 00:00	6017.8	6114.8	5993.8	6070.6	+52.8	+0.87%
Dec 18, 2015 00:00	6071.6	6105.8	5994.8	5994.8	-76.8	-1.28%
Dec 17, 2015 00:00	6123.7	6167	6064	6067.4	-56.3	-0.93%
Dec 16, 2015 00:00	6024.2	6150.8	6017.6	6124.9	+100.7	+1.64%
Dec 15, 2015 00:00	5936.2	6038.3	5915.3	6024	+87.8	+1.46%
Dec 14, 2015 00:00	5924.9	6010.3	5863.3	5935.6	+10.7	+0.18%
Dec 11, 2015 00:00	6075.1	6087.1	5918.3	5921.1	-154.0	-2.60%
Dec 10, 2015 00:00	6077.1	6124.8	6061.3	6074.9	-2.2	-0.04%
Dec 09, 2015 00:00	6131.1	6174.3	6047.5	6077.7	-53.4	-0.88%
Dec 08, 2015 00:00	6247.5	6247.5	6118	6131.7	-115.8	-1.89%
Dec 07, 2015 00:00	6284.9	6299.9	6207.5	6248.5	-36.4	-0.58%
Dec 04, 2015 00:00	6224.7	6295	6218	6285.1	+60.4	+0.96%
Dec 03, 2015 00:00	6394	6444	6196.2	6225.1	-168.9	-2.71%
